0	1	1.0
1	2	1.0
2	3	1.0
3	4	1.0
4	5	1.0
5	6	1.0
6	7	1.0
7	8	1.0
8	9	1.0
9	10	1.0
10	11	1.0
11	12	1.0
12	13	1.0
14	15	1.0
15	16	1.0
16	17	1.0
17	18	1.0
18	19	1.0
19	20	1.0
20	21	1.0
21	22	1.0
22	23	1.0
23	24	1.0
24	25	1.0
25	26	1.0
26	27	1.0
28	29	1.0
29	30	1.0
30	31	1.0
31	32	1.0
32	33	1.0
33	34	1.0
34	35	1.0
35	36	1.0
36	37	1.0
37	38	1.0
38	39	1.0
39	40	1.0
40	41	1.0
42	43	1.0
43	44	1.0
44	45	1.0
45	46	1.0
46	47	1.0
47	48	1.0
48	49	1.0
49	50	1.0
50	51	1.0
51	52	1.0
52	53	1.0
53	54	1.0
54	55	1.0
0	14	1.0
1	15	1.0
2	16	1.0
3	17	1.0
4	18	1.0
5	19	1.0
6	20	1.0
7	21	1.0
8	22	1.0
9	23	1.0
10	24	1.0
11	25	1.0
12	26	1.0
13	27	1.0
28	42	1.0
29	43	1.0
30	44	1.0
31	45	1.0
32	46	1.0
33	47	1.0
34	48	1.0
35	49	1.0
36	50	1.0
37	51	1.0
38	52	1.0
39	53	1.0
40	54	1.0
41	55	1.0
18	46	1.0
19	47	1.0
20	48	1.0
21	49	1.0
22	50	1.0
23	51	1.0
0	28	1.0
1	29	1.0
2	30	1.0
3	31	1.0
4	32	1.0
5	33	1.0
6	34	1.0
7	35	1.0
8	36	1.0
9	37	1.0
10	38	1.0
11	39	1.0
12	40	1.0
13	41	1.0
0	15	1.0
1	16	1.0
2	17	1.0
3	18	1.0
4	19	1.0
5	20	1.0
6	21	1.0
7	22	1.0
8	23	1.0
9	24	1.0
10	25	1.0
11	26	1.0
12	27	1.0
1	14	1.0
2	15	1.0
3	16	1.0
4	17	1.0
5	18	1.0
6	19	1.0
7	20	1.0
8	21	1.0
9	22	1.0
10	23	1.0
11	24	1.0
12	25	1.0
13	26	1.0
28	43	1.0
29	44	1.0
30	45	1.0
31	46	1.0
32	47	1.0
33	48	1.0
34	49	1.0
35	50	1.0
36	51	1.0
37	52	1.0
38	53	1.0
39	54	1.0
40	55	1.0
29	42	1.0
30	43	1.0
31	44	1.0
32	45	1.0
33	46	1.0
34	47	1.0
35	48	1.0
36	49	1.0
37	50	1.0
38	51	1.0
39	52	1.0
40	53	1.0
41	54	1.0
